補助金名,公募期間
令和6年度持続的な食料システム構築支援事業（新技術導入支援事業・食品産業生産性向上対策事業等）,終了済（締切済み）
産地魅力推進対策交付事業,第1次公募：令和6年3月7日（木）～同年5月8日（木）17:00／第2次公募：令和6年6月上旬予定
観光地・観光産業における人材不足対策事業,2025年3月24日（月）～5月30日（17:00締切）
小規模事業者持続化補助金（第17回・通常枠）,2025年4月5日〜6月13日
ものづくり・商業・サービス生産性向上促進補助金（第19回）,2025年2月14日～4月25日
観光地・観光産業におけるユニバーサルツーリズム促進事業,2025年4月10日（木）～5月16日（金）17:00
宿泊施設サステナビリティ強化支援事業,2025年3月24日（月）10:00～2025年5月2日（金）17:00
オーバーツーリズムの未然防止・抑制による持続可能な観光推進事業,2025年2月7日〜3月14日（金）12:00
中小企業生産性革命推進事業（一般枠）,2025年4月中旬〜5月下旬予定
小規模事業者持続化補助金＜本店・協業型＞,2025年4月25日〜6月13日
地域一体型人材確保・育成事業,2025年3月3日〜4月18日 正午
クリエイター・事業者連携による国内外需要の開拓支援事業（ジャパンバリューショーケース、ジャパンバリューリメイク）,第1回：2025年4月11日〜申請受付中（第2・4回実施あり）
ローカル10,000プロジェクト,通年（自治体と連携し要件により申請）
展示会出展支援プログラム（東京都対象）,スケジュールにより変動（公募準備段階）
革新的事業展開支援事業・新技術開発事業,申請期間：2025年5月9日〜2027年6月5日17:00
フードテックシーズ支援事業,公募期間：2025年5月7日（水）17:00締切
中小企業生産性革命推進事業（一般枠第2回）,2025年4月中旬〜5月下旬予定
東京都 シニア・福祉・アクセシビリティ関連施設整備応援助成事業,第1回：2025年5月12日〜5月30日（予定）
